,Time,Timestamp,DC Voltage PV1(V),AC Output Total Power (Active)(W),Daily Generation (Active)(kWh),Wind Speed ( MPH ),Wind Average ( MPH )
2021-10-11 16:35:00,2021-10-11 16:36:30,2021-10-11 16:35:00,181.5,0,2.1,16,12
2021-10-11 16:40:00,2021-10-11 16:41:53,2021-10-11 16:40:00,221.6,259.27,2.1,16,13
2021-10-11 16:45:00,2021-10-11 16:47:14,2021-10-11 16:45:00,186.8,91.06,2.1,20,15
2021-10-11 16:55:00,2021-10-11 16:52:36,2021-10-11 16:55:00,182.3,0,2.1,14,14
2021-10-11 17:05:00,2021-10-11 17:03:20,2021-10-11 17:05:00,190.2,129.81,2.1,9,9
2021-10-11 17:10:00,2021-10-11 17:08:43,2021-10-11 17:10:00,64,0,2.1,14,14
2021-10-11 17:30:00,2021-10-11 17:30:10,2021-10-11 17:30:00,52.6,0,2.1,12,12
2021-10-11 17:35:00,2021-10-11 17:35:32,2021-10-11 17:35:00,73.2,0,2.1,8,6
2021-10-11 17:40:00,2021-10-11 17:40:54,2021-10-11 17:40:00,31.2,0,2.1,11,9
2021-10-11 17:45:00,2021-10-11 17:46:16,2021-10-11 17:45:00,31.3,0,2.1,8,6
2021-10-11 17:50:00,2021-10-11 17:51:38,2021-10-11 17:50:00,22.1,0,2.1,12,9
2021-10-11 17:55:00,2021-10-11 17:57:00,2021-10-11 17:55:00,163.5,0,2.1,9,8
2021-10-11 18:00:00,2021-10-11 18:02:22,2021-10-11 18:00:00,90.2,0,2.1,12,9
2021-10-11 18:10:00,2021-10-11 18:07:43,2021-10-11 18:10:00,142.6,0,2.1,17,12
2021-10-11 18:15:00,2021-10-11 18:13:05,2021-10-11 18:15:00,190.2,129.81,2.1,19,12
2021-10-11 18:20:00,2021-10-11 18:18:27,2021-10-11 18:20:00,184.2,35.91,2.1,14,11
2021-10-11 18:25:00,2021-10-11 18:23:49,2021-10-11 18:25:00,182.2,0,2.1,17,12
2021-10-11 18:30:00,2021-10-11 18:29:11,2021-10-11 18:30:00,184.6,35.99,2.1,17,12
2021-10-11 18:35:00,2021-10-11 18:34:33,2021-10-11 18:35:00,187,91.16,2.1,16,13
2021-10-11 18:40:00,2021-10-11 18:39:55,2021-10-11 18:40:00,187.6,91.45,2.1,19,16
2021-10-11 18:45:00,2021-10-11 18:45:17,2021-10-11 18:45:00,189.1,129.06,2.2,17,15
2021-10-11 18:50:00,2021-10-11 18:50:39,2021-10-11 18:50:00,184,35.88,2.2,16,13
2021-10-11 18:55:00,2021-10-11 18:56:01,2021-10-11 18:55:00,200.1,156.07,2.2,19,15
2021-10-11 19:00:00,2021-10-11 19:01:22,2021-10-11 19:00:00,189.5,129.33,2.2,19,14
2021-10-11 19:05:00,2021-10-11 19:06:44,2021-10-11 19:05:00,188.1,91.69,2.2,17,14
2021-10-11 19:10:00,2021-10-11 19:12:06,2021-10-11 19:10:00,189.2,129.12,2.2,17,14
2021-10-11 19:15:00,2021-10-11 19:17:29,2021-10-11 19:15:00,219.2,213.71,2.2,19,15
2021-10-11 19:25:00,2021-10-11 19:22:51,2021-10-11 19:25:00,182.8,35.64,2.2,20,16
2021-10-11 19:30:00,2021-10-11 19:28:12,2021-10-11 19:30:00,238,348.07,2.2,20,16
