,Time,Timestamp,DC Voltage PV1(V),AC Output Total Power (Active)(W),Daily Generation (Active)(kWh),Wind Speed ( MPH ),Wind Average ( MPH ),Week_label,Power_round,Voltage_round,Curve_Iteration
11/23/2021 8:45,11/23/2021 8:47,11/23/2021 8:45,203.6,198.51,0.1,19,14,6,200,200,2
11/23/2021 8:55,11/23/2021 8:52,11/23/2021 8:55,186.6,0,0.1,20,14,6,0,190,2
11/23/2021 9:00,11/23/2021 8:57,11/23/2021 9:00,232.2,339.59,0.1,20,18,6,340,230,2
11/23/2021 9:05,11/23/2021 9:03,11/23/2021 9:05,186.8,36.42,0.1,20,13,6,40,190,2
11/23/2021 9:10,11/23/2021 9:08,11/23/2021 9:10,190.2,129.81,0.1,20,17,6,130,190,2
11/23/2021 9:15,11/23/2021 9:14,11/23/2021 9:15,209.1,244.64,0.1,25,17,6,240,210,2
11/23/2021 9:20,11/23/2021 9:19,11/23/2021 9:20,183.2,35.72,0.1,25,19,6,40,180,2
11/23/2021 9:25,11/23/2021 9:24,11/23/2021 9:25,205.7,160.44,0.2,24,19,6,160,210,2
11/23/2021 9:30,11/23/2021 9:30,11/23/2021 9:30,209,244.52,0.2,20,15,6,240,210,2
11/23/2021 9:35,11/23/2021 9:35,11/23/2021 9:35,189.5,92.38,0.2,25,20,6,90,190,2
11/23/2021 9:40,11/23/2021 9:40,11/23/2021 9:40,185.7,90.52,0.2,24,18,6,90,190,2
11/23/2021 9:45,11/23/2021 9:46,11/23/2021 9:45,188.8,92.04,0.2,24,18,6,90,190,2
11/23/2021 9:50,11/23/2021 9:51,11/23/2021 9:50,245.6,478.91,0.2,22,19,6,480,250,2
11/23/2021 9:55,11/23/2021 9:56,11/23/2021 9:55,231.6,338.71,0.3,24,17,6,340,230,2
11/23/2021 10:00,11/23/2021 10:02,11/23/2021 10:00,173.8,0,0.3,24,20,6,0,170,2
11/23/2021 10:10,11/23/2021 10:07,11/23/2021 10:10,275.2,751.29,0.3,20,16,6,750,280,2
11/23/2021 10:15,11/23/2021 10:12,11/23/2021 10:15,206.1,200.94,0.3,30,21,6,200,210,2
11/23/2021 10:20,11/23/2021 10:18,11/23/2021 10:20,214.6,251.08,0.3,28,21,6,250,210,2
11/23/2021 10:25,11/23/2021 10:23,11/23/2021 10:25,255.8,548.69,0.4,25,22,6,550,260,2
11/23/2021 10:30,11/23/2021 10:29,11/23/2021 10:30,205.6,200.45,0.4,24,18,6,200,210,2
11/23/2021 10:35,11/23/2021 10:34,11/23/2021 10:35,181.7,0,0.4,22,16,6,0,180,2
11/23/2021 10:40,11/23/2021 10:39,11/23/2021 10:40,213.3,249.56,0.5,25,19,6,250,210,2
11/23/2021 10:45,11/23/2021 10:45,11/23/2021 10:45,181,0,0.5,28,20,6,0,180,2
11/23/2021 10:50,11/23/2021 10:50,11/23/2021 10:50,247.3,482.23,0.5,28,24,6,480,250,2
11/23/2021 10:55,11/23/2021 10:55,11/23/2021 10:55,194,189.15,0.6,25,21,6,190,190,2
11/23/2021 11:00,11/23/2021 11:01,11/23/2021 11:00,283.3,828.65,0.6,28,21,6,830,280,2
11/23/2021 11:05,11/23/2021 11:06,11/23/2021 11:05,236.8,392.49,0.7,28,20,6,390,240,2
11/23/2021 11:10,11/23/2021 11:11,11/23/2021 11:10,282,824.85,0.7,27,23,6,820,280,2
11/23/2021 11:15,11/23/2021 11:17,11/23/2021 11:15,225.3,285.56,0.7,27,22,6,290,230,2
11/23/2021 11:25,11/23/2021 11:22,11/23/2021 11:25,244.7,477.16,0.8,24,21,6,480,240,2
11/23/2021 11:30,11/23/2021 11:27,11/23/2021 11:30,264.7,645.2,0.8,28,22,6,650,260,2
11/23/2021 11:35,11/23/2021 11:33,11/23/2021 11:35,293.6,916.03,0.8,30,25,6,920,290,2
11/23/2021 11:40,11/23/2021 11:38,11/23/2021 11:40,247.1,481.84,0.9,28,25,6,480,250,2
11/23/2021 11:45,11/23/2021 11:44,11/23/2021 11:45,299.1,1079,0.9,30,25,6,1080,300,2
11/23/2021 11:50,11/23/2021 11:49,11/23/2021 11:50,286,836.55,1,32,23,6,840,290,2
11/23/2021 11:55,11/23/2021 11:54,11/23/2021 11:55,275,804.37,1,33,27,6,800,280,2
11/23/2021 12:00,11/23/2021 12:00,11/23/2021 12:00,208.7,223.83,1.1,32,25,6,220,210,2
11/23/2021 12:05,11/23/2021 12:05,11/23/2021 12:05,226.5,331.25,1.1,30,23,6,330,230,2
11/23/2021 12:10,11/23/2021 12:10,11/23/2021 12:10,205.3,200.16,1.1,33,26,6,200,210,2
11/23/2021 12:15,11/23/2021 12:16,11/23/2021 12:15,216.3,253.07,1.2,32,22,6,250,220,2
11/23/2021 12:20,11/23/2021 12:21,11/23/2021 12:20,311.8,1276.82,1.2,33,27,6,1280,310,2
11/23/2021 12:25,11/23/2021 12:26,11/23/2021 12:25,216.1,252.83,1.3,30,26,6,250,220,2
11/23/2021 12:30,11/23/2021 12:32,11/23/2021 12:30,186.5,90.91,1.3,30,25,6,90,190,2
11/23/2021 12:40,11/23/2021 12:37,11/23/2021 12:40,184.5,89.94,1.4,27,20,6,90,180,2
